"","Casualty.Class","Age.of.Casualty","Weather.Conditions","Type.of.Vehicle","Casualty.Severity"
"930",3,79,1,9,3
"931",1,23,1,1,3
"932",1,68,1,9,3
"933",3,69,1,20,3
"934",1,48,1,9,3
"935",1,40,1,9,3
"936",2,7,1,9,3
"937",2,3,1,9,3
"938",2,36,1,9,3
"939",1,42,1,9,3
"940",1,47,1,9,3
"941",3,85,1,9,3
"942",1,66,1,9,2
"943",2,67,1,9,3
"944",1,33,1,9,3
"945",1,28,1,21,3
"946",2,44,1,9,1
"947",1,34,1,9,2
"948",1,46,1,9,3
"949",2,52,1,9,3
"950",2,14,1,9,3
"951",2,15,1,9,3
"952",1,68,1,9,3
"953",1,34,1,9,3
"954",1,47,1,9,3
"955",1,29,1,3,3
"956",3,76,1,9,3
"957",1,39,1,9,3
"958",3,76,1,9,2
"959",1,36,1,9,3
"960",1,45,1,9,3
"961",1,45,1,9,3
"962",1,48,1,9,3
"963",1,45,1,9,3
"964",1,22,2,9,3
"965",2,14,2,9,3
"966",3,42,6,9,3
"967",1,58,1,9,3
"968",1,27,1,1,3
"969",2,5,1,9,3
"970",3,61,1,9,2
"971",3,9,1,9,3
"972",2,25,1,9,2
"973",1,57,1,9,3
"974",3,70,1,9,3
"975",1,42,1,3,3
"976",1,82,1,9,2
"977",3,20,1,9,3
"978",3,29,1,9,3
"979",1,51,2,9,3
"980",1,23,1,9,3
"981",2,10,2,9,3
"982",2,10,1,9,3
"983",1,49,1,1,3
"984",1,32,1,9,3
"985",2,4,1,9,3
"986",3,48,2,9,1
"987",1,34,1,9,3
"988",3,18,1,9,3
"989",1,22,1,4,2
"990",1,36,1,9,3
"991",1,71,1,9,2
"992",3,32,1,9,3
"993",1,55,1,4,2
"994",1,61,1,4,3
"995",3,12,1,9,3
"996",1,17,1,1,3
"997",3,84,1,9,3
"998",1,49,1,1,3
"999",1,24,1,9,3
"1000",1,40,1,9,3
"1001",3,46,2,9,2
"1002",1,66,2,1,2
"1003",3,23,1,9,3
"1004",1,65,5,9,3
"1005",2,54,5,9,3
"1006",3,37,2,8,3
"1007",1,45,2,5,3
