"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"188",1,2017-08-06,1610,"A672","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",31
"189",1,2017-08-06,1530,"A672","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",49
"190",2,2017-08-06,2206,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,3,"Male",37
"191",2,2017-08-08,1814,"U","Wet/Damp","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",51
"192",2,2017-08-09,735,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",37
"193",1,2017-08-09,1110,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,3,3,"Female",80
"194",2,2017-08-04,1430,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,1,3,"Male",50
"195",2,2017-08-09,1655,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,1,2,"Male",49
"196",3,2017-08-11,805,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",47
"197",2,2017-08-03,2043,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,2,"Male",62
"198",2,2017-08-13,2050,"A629","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",8,1,3,"Male",34
"199",2,2017-08-13,2146,"A6036","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",3,1,3,"Male",17
"200",2,2017-08-17,1215,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",34
"201",2,2017-08-18,2100,"U","Dry","Darkness: No Street Lights Present",NA,"Fine, high winds",9,1,3,"Male",49
"202",1,2017-08-23,1518,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",8
"203",1,2017-08-27,609,"A58","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,2,"Male",60
"204",1,2017-08-27,922,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",39
"205",2,2017-10-07,1433,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",55
"206",1,2017-08-27,1505,"A641","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",24
"207",1,2017-08-27,1657,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",27
"208",2,2017-08-28,929,"A672","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",46
"209",5,2017-08-30,1706,"A646","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",46
"210",2,2017-08-30,1721,"A641","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",5,1,2,"Male",52
"211",2,2017-08-01,1615,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",20
"212",4,2017-09-01,1058,"M62","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",52
"213",2,2017-09-01,1455,"A6036","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",62
"214",1,2017-09-01,2128,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Male",10
"215",1,2017-09-01,2136,"A58","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",4,1,3,"Male",20
"216",2,2017-09-02,1957,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",24
"217",3,2017-09-04,1240,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,1,3,"Female",44
"218",2,2017-09-04,1455,"M62","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",46
"219",1,2017-09-04,1630,"A646","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,2,"Female",56
"220",2,2017-09-05,645,"U","Wet/Damp","Darkness: Street Lights Unknown","Dark","Raining, no high winds",9,1,3,"Male",41
